83.65,83.65,83.65,83.65,92,104.55,104.55,112.9,125.45
41.5,41.5,41.5,41.5,45.65,51.85,51.85,56,62.25
47.05,47.05,47.05,47.05,51.75,58.8,58.8,63.5,70.55
64,64,64,64,70.4,80,80,86.4,96
45.2,45.2,45.2,45.2,49.7,56.5,56.5,61,67.8
39.5,39.5,39.5,39.5,43.45,49.4,49.4,53.35,59.25
74.05,74.05,74.05,74.05,81.45,92.55,92.55,100,111.1
61.95,61.95,61.95,61.95,68.15,77.45,77.45,83.65,92.95
41.1,41.1,41.1,41.1,45.2,51.35,51.35,55.45,61.65
42.75,42.75,42.75,42.75,47.05,53.45,53.45,57.7,64.15
38,38,38,38,41.8,47.5,47.5,51.3,57
95,95,95,95,104.5,118.75,118.75,128.25,142.5
75,75,75,75,82.5,93.75,93.75,101.25,112.5
39,39,39,39,42.9,48.75,48.75,52.65,58.5
58.9,58.9,58.9,58.9,64.8,73.65,73.65,79.5,88.35
50.9,50.9,50.9,50.9,56,63.6,63.6,68.7,76.35
67.5,67.5,67.5,67.5,74.25,84.4,84.4,91.15,101.25
90,90,90,90,99,112.5,112.5,121.5,135
57.95,57.95,57.95,57.95,63.75,72.45,72.45,78.25,86.95
120,120,120,120,132,150,150,162,180
94.95,94.95,94.95,94.95,104.45,118.7,118.7,128.2,142.45
59.95,59.95,59.95,59.95,65.95,74.95,74.95,80.95,89.95
72.5,72.5,72.5,72.5,79.75,90.65,90.65,97.9,108.75
69.25,69.25,69.25,69.25,76.2,86.55,86.55,93.5,103.9
85.5,85.5,85.5,85.5,94.05,106.88,106.88,115.45,128.25
110,110,110,110,121,137.5,137.5,148.5,165
49.5,49.5,49.5,49.5,54.45,61.9,61.9,66.85,74.25
110.65,110.65,110.65,110.65,121.7,138.3,138.3,149.4,165.95
89.2,89.2,89.2,89.2,98.15,111.5,111.5,120.45,133.8
52.7,52.7,52.7,52.7,57.95,65.9,65.9,71.15,79.05
64.8,64.8,64.8,64.8,71.3,81,81,87.5,97.2
63.65,63.65,63.65,63.65,70,79.55,79.55,85.9,95.45
74.5,74.5,74.5,74.5,81.95,93.15,93.15,100.6,111.75
100,100,100,100,110,125,125,135,150
33,33,33,33,36.3,41.25,41.25,44.55,49.5
53,53,53,53,58.3,66.25,66.25,71.55,79.5
40.85,40.85,40.85,40.85,44.95,5105,5105,55.15,61.3
36.5,36.5,36.5,36.5,40.15,45.65,45.65,49.3,54.75
42.5,42.5,42.5,42.5,46.75,53.15,53.15,57.4,63.75
60,60,60,60,66,75,75,81,90
29,29,29,29,31.9,36.25,36.25,39.15,43.5
50.5,50.5,50.5,50.5,55.55,63.15,63.15,68.2,75.75
35,35,35,35,38.5,43.75,43.75,47.25,52.5
32.5,32.5,32.5,32.5,35.75,40.65,40.65,43.9,48.75
37.5,37.5,37.5,37.5,41.25,46.9,46.9,50.65,56.25
55,55,55,55,60.5,68.75,68.75,74.25,82.5
31.95,31.95,31.95,31.95,35.15,39.95,39.95,43.15,47.95
51.4,51.4,51.4,51.4,56.55,64.25,64.25,69.4,77.1
39.1,39.1,39.1,39.1,43,48.9,48.9,52.8,58.65
35.1,35.1,35.1,35.1,38.6,43.9,43.9,47.4,52.65
42,42,42,42,46.2,52.5,52.5,56.7,63
57.5,57.5,57.5,57.5,63.25,71.9,71.9,77.65,86.25
44.25,44.25,44.25,44.25,48.7,55.3,55.3,59.75,66.4
39.15,39.15,39.15,39.15,43.1,48.95,48.95,52.85,58.75
80,80,80,80,88,100,100,108,120
85,85,85,85,93.5,106.25,106.25,114.75,127.5
93,93,93,93,102.3,116.25,116.25,125.55,139.5
97,97,97,97,106.7,121.25,121.25,130.95,145.5
174.55,174.55,174.55,174.55,192,218.2,218.2,235.65,261.85
90,90,90,90,99,112.5,112.5,121.5,135
152.5,152.5,152.5,152.5,167.75,190.65,190.65,205.9,228.75
97.5,97.5,97.5,97.5,107.25,121.9,121.9,131.65,146.25
94,94,94,94,103.4,117.5,117.5,126.9,141
131.5,131.5,131.5,131.5,144.65,164.4,164.4,177.55,197.25
195,195,195,195,214.5,243.75,243.75,263.25,292.5
218.85,218.85,218.85,218.85,240.75,273.55,273.55,295.45,328.3
161.95,161.95,161.95,161.95,178.15,202.45,202.45,218.65,242.95
148.5,148.5,148.5,148.5,163.35,185.65,185.65,200.5,222.75
275,275,275,275,302.5,343.75,343.75,371.25,412.5
205,205,205,205,225.5,256.25,256.25,276.75,307.5
140,140,140,140,154,175,175,189,210
155,155,155,155,170.5,193.75,193.75,209.25,232.5
150,150,150,150,165,187.5,187.5,202.5,225
165,165,165,165,181.5,206.25,206.25,222.75,247.5
265,265,265,265,291.5,331.25,331.25,357.75,397.5
161.9,161.9,161.9,161.9,178.1,202.4,202.4,218.6,242.85
104.7,104.7,104.7,104.7,115.15,130.9,130.9,141.35,157.05
102.5,102.5,102.5,102.5,112.75,128.15,128.15,138.4,153.75
107.5,107.5,107.5,107.5,118.25,134.4,134.4,145.15,161.25
127.5,127.5,127.5,127.5,140.25,159.4,159.4,172.15,191.25
144.05,144.05,144.05,144.05,158.45,180.05,180.05,194.5,216.1
87.6,87.6,87.6,87.6,96.35,109.5,109.5,118.25,131.4
95,95,95,95,104.5,118.75,118.75,128.25,142.5
96.15,96.15,96.15,96.15,105.75,120.2,120.2,129.8,144.25
115,115,115,115,126.5,143.75,143.75,155.25,172.5
180,180,180,180,198,225,225,243,270
115.15,115.15,115.15,115.15,126.7,143.95,143.95,155.45,172.75
